"Team_Name","Season","GP","Wins","Points","Shots_For_Per_Game","Goals_For_Per_Game","Goals_Against_Per_Game","Playoff_Wins","Arena_Capacity"
"Vancouver Canucks","2014-2015",82,48,101,29.91463,2.87804,2.68292,2,18910
"Dallas Stars","2014-2015",82,41,92,31.19512,3.13414,3.13414,0,18532
"Ottawa Senators","2014-2015",82,43,99,30.96341,2.82926,2.53658,2,19347
"Colorado Avalanche","2014-2015",82,39,90,27.87804,2.54878,2.71951,0,17809
"Nashville Predators","2014-2015",82,47,104,31.87804,2.75609,2.46341,2,17159
"Washington Capitals","2014-2015",82,45,101,29.5,2.89024,2.42682,7,18573
"New Jersey Devils","2014-2015",82,32,78,24.4878,2.14634,2.54878,0,16514
"Anaheim Ducks","2014-2015",82,51,109,29.9756,2.78048,2.69512,11,17174
"Detroit Red Wings","2014-2015",82,43,100,29.62195,2.81707,2.57317,3,19515
"Winnipeg Jets","2014-2015",82,43,99,29.7439,2.71951,2.4878,0,15321
"St. Louis Blues","2014-2015",82,51,109,30.91463,2.91463,2.40243,2,18096
"Columbus Blue Jackets","2014-2015",82,42,89,28.85365,2.76829,3.02439,0,18144
"Chicago Blackhawks","2014-2015",82,48,102,33.86585,2.68292,2.26829,16,19717
"Pittsburgh Penguins","2014-2015",82,43,98,31.63414,2.64634,2.4878,1,18387
"New York Rangers","2014-2015",82,53,113,31.4878,3.02439,2.28048,11,18006
"Minnesota Wild","2014-2015",82,46,100,30.75609,2.76829,2.41463,4,17954
"Buffalo Sabres","2014-2015",82,23,54,24.19512,1.86585,3.28048,0,19070
"Carolina Hurricanes","2014-2015",82,30,71,30.78048,2.2317,2.67073,0,18547
"Florida Panthers","2014-2015",82,38,91,30.68292,2.41463,2.59756,0,19250
"Boston Bruins","2014-2015",82,41,96,31.04878,2.54878,2.45121,0,17565
"San Jose Sharks","2014-2015",82,40,89,31.59756,2.7317,2.75609,0,17435
"Calgary Flames","2014-2015",82,45,97,27.46341,2.89024,2.59756,5,19289
"Montreal Canadiens","2014-2015",82,50,110,28.46341,2.60975,2.2439,6,20962
"New York Islanders","2014-2015",82,47,101,33.79268,2.9878,2.7317,3,17255
"Philadelphia Flyers","2014-2015",82,33,84,29.42682,2.58536,2.71951,0,19538
"Edmonton Oilers","2014-2015",82,24,62,28.42682,2.35365,3.36585,0,18347
"Los Angeles Kings","2014-2015",82,40,95,30.92682,2.65853,2.40243,0,18230
"Tampa Bay Lightning","2014-2015",82,50,108,29.60975,3.15853,2.51219,14,19092
"Toronto Maple Leafs","2014-2015",82,30,68,29.2317,2.51219,3.13414,0,18800
"Washington Capitals","2015-2016",82,56,120,30.60975,3.02439,2.32926,6,18573
"Vancouver Canucks","2015-2016",82,31,75,28.18292,2.26829,2.91463,0,18910
"Dallas Stars","2015-2016",82,50,109,32,3.2317,2.78048,7,18532
"Ottawa Senators","2015-2016",82,38,85,28.35365,2.80487,2.93902,0,19347
"Colorado Avalanche","2015-2016",82,39,82,28.63414,2.58536,2.92682,0,17809
"Nashville Predators","2015-2016",82,41,96,30.57317,2.7317,2.59756,7,17159
"New Jersey Devils","2015-2016",82,38,84,24.42682,2.21951,2.46341,0,16514
"Anaheim Ducks","2015-2016",82,46,103,30.28048,2.62195,2.29268,3,17174
"St. Louis Blues","2015-2016",82,49,107,30.17073,2.67073,2.40243,10,18096
"Detroit Red Wings","2015-2016",82,41,93,29.65853,2.54878,2.67073,1,19515
"Winnipeg Jets","2015-2016",82,35,78,29.59756,2.58536,2.87804,0,15321
"Boston Bruins","2015-2016",82,42,93,31.95121,2.87804,2.78048,0,17565
"Calgary Flames","2015-2016",82,35,77,29.2439,2.79268,3.13414,0,19289
"Montreal Canadiens","2015-2016",82,38,82,30.53658,2.63414,2.84146,0,20962
"New York Rangers","2015-2016",82,46,101,28.4878,2.84146,2.62195,1,18006
"Minnesota Wild","2015-2016",82,38,87,28.95121,2.59756,2.4878,2,17954
